# tau                             g2                             stdg2                             g3                             stdg3
2e-06                             1.0000000000000004             2.9200193199910855e-08            1.0000000000000004             2.9200193199910855e-08
1.8333333333333335e-06            1.0000214873953324             0.00012388232295287052            0.9980809461677891             0.00012388232295287052
1.6923076923076922e-06            1.0000137781506913             0.00025028357647323895            0.9930031216556774             0.00025028357647323895
1.5714285714285714e-06            1.0000177875935405             0.00034547165003933277            0.9857554764495237             0.00034547165003933277
1.4666666666666665e-06            1.0000141727235166             0.00040121524815165766            0.9760709117016402             0.00040121524815165766
1.375e-06                         1.0000147981113572             0.00047272088562118217            0.9658606966780188             0.00047272088562118217
1.2941176470588237e-06            0.999830840790045              0.0006130797066908655             0.9545451861723141             0.0006130797066908655
1.2222222222222223e-06            0.9999915864806828             0.0007824314402499294             0.9420049435657718             0.0007824314402499294
1.1578947368421053e-06            1.0000127862494084             0.0007245850229873793             0.9285303976244389             0.0007245850229873793
1.0999999999999998e-06            0.9999750987117418             0.0007244763053313253             0.9156390548989166             0.0007244763053313253
1.0476190476190476e-06            1.000026726631061              0.001009259935365274              0.9011780620048443             0.001009259935365274
1e-06                             0.9999995910196322             0.0011960740711232656             0.8887428711611491             0.0011960740711232656
9.565217391304349e-07             1.0002030521707008             0.0013339437911365354             0.8756630596011551             0.0013339437911365354
9.166666666666667e-07             0.9996644477877553             0.0010891588327972344             0.8623784474758417             0.0010891588327972344
8.800000000000002e-07             0.9997762389237334             0.0011543304730173012             0.8479295073945069             0.0011543304730173012
8.461538461538461e-07             1.0000763806249846             0.0010878031903496562             0.8351262280182812             0.0010878031903496562
8.148148148148149e-07             0.9998916192506009             0.0014510611282053478             0.8230710050592236             0.0014510611282053478
7.857142857142857e-07             0.9998660624106456             0.0012935587124419932             0.811642295338657              0.0012935587124419932
7.586206896551723e-07             1.0002366115622798             0.0009381399173041736             0.7967672452444585             0.0009381399173041736
7.333333333333332e-07             0.9997304297214266             0.0013189383041122666             0.786135633608467              0.0013189383041122666
7.096774193548387e-07             1.0002656563643182             0.001363275267622473              0.7738295434213671             0.001363275267622473
6.875e-07                         0.9997570466385524             0.0015115097628195919             0.7614574151777849             0.0015115097628195919
6.666666666666667e-07             0.9997306541810975             0.0014412908795653546             0.7512076896918924             0.0014412908795653546
6.470588235294118e-07             1.0002270537524418             0.0017750173931813172             0.7385463358130144             0.0017750173931813172
6.285714285714286e-07             0.9995913595855153             0.0015828849361983158             0.7267196596380414             0.0015828849361983158
6.111111111111111e-07             1.0000453593164664             0.0017879564866904961             0.7186390444931262             0.0017879564866904961
5.945945945945945e-07             1.0003314227574767             0.001754343441144829              0.7077185938581502             0.001754343441144829
5.789473684210526e-07             0.9996816608846366             0.0021320725085366707             0.6963390453463704             0.0021320725085366707
5.641025641025642e-07             0.9997009948809452             0.0018355641179724973             0.6885187489011786             0.0018355641179724973
5.5e-07                           1.0005078928161981             0.0024921106829841225             0.6772348676013218             0.0024921106829841225
5.365853658536585e-07             0.9997190872632247             0.0019455548055301343             0.6654646231031398             0.0019455548055301343
5.238095238095238e-07             0.9999433903503746             0.0018939908278655818             0.65858668224172               0.0018939908278655818
5.116279069767442e-07             0.9997114020628319             0.0016273003104174657             0.6480097650784605             0.0016273003104174657
5e-07                             0.9995368621773827             0.0020505508296173444             0.6413344501535992             0.0020505508296173444
4.888888888888889e-07             0.9999246262973938             0.0018091483473642756             0.6324532887534206             0.0018091483473642756
4.782608695652173e-07             0.9999893338843848             0.002058060621469567              0.6222236791517779             0.002058060621469567
4.6808510638297863e-07            0.9997450546617385             0.002418692457645157              0.6147837997312178             0.002418692457645157
4.583333333333334e-07             0.9995248061846217             0.002170484425209896              0.6082136844744981             0.002170484425209896
4.4897959183673465e-07            1.0003746808699303             0.0020379737301374646             0.5979818481636717             0.0020379737301374646
4.400000000000001e-07             0.9995812781652055             0.0018528851740509309             0.5936609128098946             0.0018528851740509309
4.313725490196078e-07             0.9995201013251234             0.0021989618140411636             0.5833385957404814             0.0021989618140411636
4.2307692307692304e-07            0.9997412230323985             0.0024069353559901807             0.5772808469438642             0.0024069353559901807
4.150943396226415e-07             0.9993246656262071             0.0021550865610958036             0.5691267465903901             0.0021550865610958036
4.074074074074074e-07             0.999975578468873              0.0025863302481645175             0.5609637380304094             0.0025863302481645175
4e-07                             1.0000007527717019             0.0024417706204620045             0.5566198084874274             0.0024417706204620045
3.9285714285714286e-07            0.9997779845622928             0.002317371888917944              0.5483174678168896             0.002317371888917944
3.8596491228070177e-07            0.999283342210563              0.0026833765638547427             0.5431581270621437             0.0026833765638547427
3.7931034482758624e-07            0.999866675344559              0.0027268297651122553             0.5355466582834563             0.0027268297651122553
3.728813559322034e-07             0.9997354019493332             0.0025038721421359166             0.5279691384459528             0.0025038721421359166
3.666666666666666e-07             0.9999995791845353             0.002710744829113701              0.5224567364458162             0.002710744829113701
3.60655737704918e-07              0.9994899788799837             0.0027221449409188794             0.5160900440052641             0.0027221449409188794
3.5483870967741936e-07            0.9998991251159234             0.002406937037337678              0.5135195747644239             0.002406937037337678
3.4920634920634917e-07            1.000060312686385              0.0033720504231917244             0.5083383385762339             0.0033720504231917244
3.4375e-07                        0.9995978605374999             0.0028901657372175024             0.5001174443394153             0.0028901657372175024
3.3846153846153845e-07            1.0001535329063753             0.0033986896555665545             0.49646881405331134            0.0033986896555665545
3.3333333333333335e-07            1.000636676857992              0.0027095669658895815             0.4901772127565265             0.0027095669658895815
3.283582089552239e-07             0.9999533687767594             0.0030197380048987642             0.48492504942435954            0.0030197380048987642
